UPC,Original Description,Expanded Description
768303011184,"BNE STFD PB LG 5-6IN","Bone Stuffed Peanut Butter Large 5-6IN"
768303011696,"BNE STERILZR STFD BF 5-6IN","Bone STERILZR Stuffed Beef 5-6IN"
768303013867,"TRT SWPOT STEAK FRY 1#","Treat Sweet Potato STEAK FRY 1#"
034846550023,"BSCT WHSM ORIG PUP 2#","Biscuit WHSM Original Puppy 2#"
035585181127,"KON TOY BALL 3.2IN MD","Kong Toy Ball 3.2IN Medium"
642863041310,"TRT DNTL ORIG XS 12OZ","Treat Dental Original Extra Small 12OZ"
642863101069,"TRT DNTL ORIG LG 36OZ","Treat Dental Original Large 36OZ"
642863101250,"TRT PILLP TAB HCKRY 3.2OZ","Treat Pill Pocket TAB HCKRY 3.2OZ"
642863101281,"TRT PILLP CAPSL PB 7.9OZ","Treat Pill Pocket Capsule Peanut Butter 7.9OZ"
642863102912,"TRT DNTL ORIG XS 6OZ","Treat Dental Original Extra Small 6OZ"
642863104107,"TRT PILLP CAPSL CHKN 15.8Z","Treat Pill Pocket Capsule Chicken 15.8Z"
642863106552,"TRT PILLP CAPSL HCKRY 15.8","Treat Pill Pocket Capsule HCKRY 15.8"
642863118494,"SPLMT SFT CHW H/J 30CT","Supplement SFT Chew H/J 30CT"
746772350140,"TOY TRBTR 2 6IN","Toy TRBTR 2 6IN"
785184105092,"CAN STEW TRKY/CRRT 12OZ","Canidae STEW TRKY/CRRT 12OZ"
785184120095,"DRY W/G OCN 4#","Dry Food Whole Grain OCN 4#"
785184120132,"DRY G/F SKY 22#","Dry Food Grain Free SKY 22#"
785184120156,"DRY W/G LAND 22#","Dry Food Whole Grain Land 22#"
785184403044,"TRT BNE FLLD CHS/BCN SM","Treat Bone FLLD CHS/BCN Small"
785184403068,"TRT BNE FLLD CHKN SM","Treat Bone FLLD Chicken Small"
785184505014,"TRT PRK SLICE 1.5#","Treat PRK SLICE 1.5#"
723633001564,"CAN LID SLMN/SWPOT 13OZ","Canidae Limited Ingredient SLMN/SWPOT 13OZ"
723633014496,"DRY LID PLNT PWR VEG 24#","Dry Food Limited Ingredient PLNT PWR VEG 24#"
723633605083,"TRT LIT FSH/SWPOT S/B 8OZ","Treat LIT FSH/SWPOT S/B 8OZ"
724089113443,"MED TAPE WORM 5CT","Medicine TAPE WORM 5CT"
079100220533,"BSCT MB BAKED PB 12OZ","Biscuit MB BAKED Peanut Butter 12OZ"
810002631450,"TRT NTH ROLL CHKN LG2P","Treat NTH ROLL Chicken LG2P"
810002631467,"TRT NTH TWST CHKN SM10","Treat NTH TWST Chicken SM10"
018214820871,"TOY TTHNG PACIFIER XS","Toy TTHNG PACIFIER Extra Small"
018214832416,"TOY CHW WSHBN PUP BL","Toy Chew Wishbone Puppy Blue"
079441002010,"VAN BOWL LTWT SM","VAN BOWL LTWT Small"
079441002126,"VAN BOWL DBL LTWT MD","VAN BOWL DBL LTWT Medium"
745801177031,"WRMR 3X WORMER MD/LG 2CT","WRMR 3X WORMER MD/LG 2CT"
748406003354,"CLNG PUP/KTTN BABY PWD 4OZ","CLNG PUP/KTTN BABY PWD 4OZ"
091197510151,"DECOR REPTA VINE POTHOS 6F","DECOR REPTA VINE POTHOS 6F"
091197720345,"TRT GRUB BAG BRD DRGN 4OZ","Treat GRUB BAG BRD DRGN 4OZ"
091197720369,"TRT GRUB BAG MLWORM 3.75Z","Treat GRUB BAG MLWORM 3.75Z"
091197730054,"SPLMT REPTA CAL 4OZ","Supplement REPTA CAL 4OZ"
091197730191,"SPLMT CAL D3 STRWBRY/BAN4Z","Supplement CAL D3 STRWBRY/BAN4Z"
091197730306,"SPLMT REPTA BST","Supplement REPTA BST"
096316096271,"REPT MUNCHIES FRUIT 2.5OZ","REPT MUNCHIES FRUIT 2.5OZ"
